country,to_review,suggested_standard,n1,n2,dist,standard
China,Bijiang Qu,Beilin Qu,24,24,0.174074074,
China,Bijie,Beijing,65,20,0.20952381,
China,Bincheng Qu,Fancheng Qu,12,24,0.121212121,
China,Binhu Qu,Aihui Qu,24,24,0.166666667,
China,Binjiang Qu,Baijiantan Qu,12,12,0.157226107,
China,Binzhou,Jingzhou,40,42,0.130952381,
China,Binzhou Shi,Binzhou,40,6,0.121212121,
China,Boshan Qu,Heshan Qu,12,24,0.148148148,
China,Bozhou,Binzhou,40,23,0.150793651,
China,Bozhou Shi,Bozhou,23,6,0.133333333,
China,Caidian Qu,Baiyin Qu,12,12,0.174074074,
China,Cangshan Qu,Bengshan Qu,24,12,0.121212121,
China,Cangzhou,Guangzhou,49,62,0.115740741,
China,Cangzhou Shi,Cangzhou,49,6,0.111111111,
China,Central & Western,Central,12,6,0.196078431,
China,Chancheng Qu,Fancheng Qu,12,24,0.152525253,
China,Chang An Lu,Changshu,12,34,0.234848485,
China,Chang An Road,Chang An Lu,12,12,0.163170163,
China,Changan Qu,Chancheng Qu,12,12,0.153703704,
China,Changchun,Chengdu,50,56,0.243386243,
China,Changchun Shi,Changchun,50,6,0.102564103,
China,Changde,Chengdu,39,56,0.19047619,
China,Changdu,Changshu,12,34,0.130952381,
China,Changhua,Changchun,50,7,0.115740741,
China,Changji,Changzhi,21,39,0.130952381,
China,Changji Huizuzizhizhou,Changji,21,12,0.227272727,
China,Changji Shi,Changji,21,12,0.121212121,
China,Changjiang Qu,Yangjiang,24,37,0.165242165,
China,Changping Qu,Changan Qu,12,12,0.116666667,
China,Changqing Qu,Changan Qu,12,6,0.116666667,
China,Changsha,Shanghai,48,62,0.166666667,
China,Changsha Xian,Changsha,48,6,0.128205128,
China,Changshu,Changchun,50,34,0.115740741,
China,Changshu Shi,Changshu,34,6,0.111111111,
China,Changyi Qu,Changping Qu,12,12,0.116666667,
China,Changzhi,Changzhou,39,48,0.115740741,
China,Changzhi Shi,Changzhi,39,12,0.111111111,
China,Changzhou,Hangzhou,48,49,0.115740741,
China,Changzhou Qu,Zhangzhou,24,32,0.148148148,
China,Changzhou Shi,Changchun Shi,6,6,0.102564103,
China,Chaonan Qu,Changjiang Qu,24,12,0.135897436,
China,Chaoyang,Liaoyang,12,23,0.166666667,
China,Chaoyang Qu,Chaonan Qu,12,12,0.130976431,
China,Chaoyang Shi,Chaoyang,12,6,0.111111111,
China,Chaozhou,Changzhou,48,43,0.115740741,
China,Chencang Qu,Fancheng Qu,12,24,0.143939394,
China,Cheng Guan Qu,Chencang Qu,12,12,0.207226107,
China,Chengbei District,Shuangqing District,12,24,0.18369453,
