Region;Country;City/station;concentrationPM10;YearPM10;AnnualmeanPM25;Yearpm25;nbLocations;Temporal coverage;Reference;Latitude;Longitude;convertedPM10;convertedPM25;yearMerged;version
AmrHI;United States of America;Seaford, DE;14;;8;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Seattle-Tacoma-Bellevue, WA;16;;10;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Sheridan, WY;14;;8;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Shreveport-Bossier City, LA;26;;16;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Sierra Vista-Douglas, AZ;11;;7;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Sioux City, IA-NE-SD;16;;10;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Sioux Falls, SD;14;;9;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Somerset, KY;16;;10;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;South Bend-Mishawaka, IN-MI;21;;13;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Spartanburg, SC;16;;10;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Spokane, WA;12;;7;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Springfield, IL;16;;10;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Springfield, MA;15;;9;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Springfield, MO;17;;10;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Springfield, OH;17;;10;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;St. Cloud, MN;14;;8;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;St. George, UT;11;;7;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;St. Joseph, MO-KS;20;;12;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
