country,to_review,suggested_standard,n1,n2,dist
Brazil,Jau,Jai,61,9,0.22222222222222232
Brazil,Macae,Jacarei,35,28,0.20952380952380956
Brazil,Marília,Marilia,61,2,0.15079365079365092
Brazil,Mauá,Maua,61,2,0.16666666666666674
Brazil,Paulínia,Paulinia,61,2,0.13095238095238093
Brazil,"Regiao Estado Sao Paulo, Cubatao)",Regiao Estado Sao Paulo,10,1,0.101010101010101
Brazil,Regiao Metropolitana De Sao Paulo,Regiao Metropolitana Do Rio De Janeiro,3,6,0.16798625351256935
Brazil,Regiao Metropolitana De São Paulo,Regiao Metropolitana Do Rio De Janeiro,3,6,0.1560814916078075
Brazil,Região Metropolitana Curitiba,Região Metropolitana Sao Paulo,1,2,0.16123604864234564
Brazil,Região Metropolitana Rio Janeiro,Região Metropolitana Curitiba,1,1,0.13889367816091958
Brazil,Região Metropolitana Sao Paulo,Regiao Metropolitana De São Paulo,3,2,0.16645768025078378
Brazil,Rio Claro,Rio De Janeiro,37,59,0.2407407407407408
Brazil,Santo Andre,Santos,49,52,0.23737373737373735
Brazil,Santo André,Santos,2,52,0.23737373737373735
Brazil,Sao Joao De Meriti,Sao Jose Do Rio Preto,24,67,0.1952380952380952
Brazil,Sao Jose Dos Campos,Sao Jose Do Rio Preto,67,7,0.23224728487886392
Brazil,São Bernardo Do Campo,Sao Bernardo Do Campo,42,2,0.16507936507936516
Brazil,São Caetano Do Sul,Sao Caetano Do Sul,66,2,0.10566448801742934
Brazil,São José Dos Campos,São José Do Rio Preto,2,2,0.23224728487886392
Brazil,Taboão Da Serra,Taboao Da Serra,61,2,0.15158730158730171
Brazil,Tatuí,Tatui,54,2,0.1333333333333333
Brunei,Tutong District,Temburong District,2,2,0.2034391534391533
Bulgaria,Devnia,Devnya,4,58,0.11111111111111105
Bulgaria,Gorna Oriahovica,Gorna Oryahovitsa,4,58,0.160014005602241
Bulgaria,Gulubovo,Galabovo,34,30,0.16666666666666674
Bulgaria,Kardjaly,Kardzhali,7,55,0.19444444444444453
Bulgaria,Nessebur,Nesebar,36,20,0.13095238095238093
Bulgaria,Pazarjik,Pazardzhik,45,1,0.1416666666666666
Bulgaria,Smolian,Sofia,7,67,0.20952380952380956
Bulgaria,Sofiyska Oblast,Sofia,67,4,0.22222222222222232
Bulgaria,Vratza,Vratsa,57,7,0.11111111111111105
Bulgaria,Yana,Varna,63,28,0.21666666666666667
Cambodia,Kampong Chhnang,Kampong Cham Province,6,6,0.23730158730158735
Cambodia,Kampong Thom,Kampong Chhnang,6,6,0.21666666666666667
Canada,Brampton,Brandon,42,45,0.22023809523809523
Canada,Brantford,Brandon,45,44,0.24338624338624348
Canada,Breton,Brampton,42,27,0.18055555555555558
Canada,Burlington,Kingston,42,44,0.21666666666666667
Canada,Campbell River,Powell River,26,45,0.20238095238095244
Canada,Castlegar,Calgary,44,42,0.15873015873015883
Canada,Charlottetown,Charette,42,34,0.24313186813186816
Canada,Conklin,Caroline,42,21,0.22023809523809523
Canada,Courtenay,Burnaby,43,40,0.24338624338624348
Canada,Cranbrook,Sherbrooke,3,44,0.24444444444444446
Canada,Creston,Breton,27,4,0.15079365079365092
Canada,Debolt,Delta,36,40,0.1777777777777778
Canada,Edmundston,Edmonton,44,15,0.1416666666666666
Canada,Edson,Edmonton,44,36,0.2333333333333334
Canada,Fort Mackay,Fort Mcmurray,15,44,0.2002072002072003
Canada,Fort Mckay,Fort Mcmurray,27,44,0.13589743589743586
Canada,Fort Smith,Fort Saskatchewan,42,35,0.2431372549019608
Canada,Fort St John,Fort Smith,35,30,0.1777777777777778
Canada,Fort St. John,Fort Smith,35,5,0.19487179487179485
Canada,Hinton,Hamilton,44,37,0.18055555555555558
Canada,L Assomption,L'assomption,6,9,0.11111111111111105
Canada,La Dore,La Patrie,40,42,0.24338624338624348
Canada,La Pêche,La Peche,37,2,0.15476190476190488
Canada,Labrador City,Labrador,15,12,0.1282051282051282
