"ID","start_year","end_year","longitude","latitude","pollutant"
207,2012,2012,-0.700138885,38.25069444,"PM10"
208,2013,2013,-0.70014259,38.25069629,"PM10"
209,2014,2021,-0.70015,38.2507,"PM10"
210,2010,2010,-0.709722,40.769444,"NO2"
211,2010,2010,-0.7175,38.259167,"NO2"
212,2013,2013,-0.735232,40.62306,"PM10"
213,2010,2010,-0.743681,46.656683,"PM10"
214,2013,2021,-0.7437,46.6567,"PM10"
215,2010,2010,-0.767692,48.069433,"PM10"
216,2014,2021,-0.7677,48.0694,"PM10"
217,2013,2013,-0.77045,48.07095,"PM10"
218,2010,2010,-0.771111,40.784722,"NO2"
219,2013,2019,-0.7722,52.5544,"NO2"
220,2010,2010,-0.783889,39.427222,"PM10"
221,2013,2013,-0.78389166,39.42721666,"PM10"
222,2014,2021,-0.7839,39.4272,"PM10"
223,2013,2013,-0.80332222,38.45471481,"PM10"
224,2010,2010,-0.803333,38.454722,"PM10"
225,2014,2021,-0.8033,38.4547,"PM10"
226,2010,2010,-0.80855,54.334944,"NO2"
227,2013,2013,-0.808575,54.334922,"NO2"
228,2014,2019,-0.8086,54.3349,"NO2"
229,2010,2010,-0.810833,43.838333,"PM10"
230,2013,2021,-0.8108,43.8383,"PM10"
231,2010,2010,-0.831944,39.708056,"PM10"
232,2013,2021,-0.8319,39.7081,"PM10"
233,2010,2010,-0.844444,40.806111,"NO2"
234,2013,2021,-0.8528,38.0847,"PM25"
235,2013,2013,-0.879898667,52.27189067,"PM25"
236,2014,2016,-0.8799,52.2719,"PM25"
237,2017,2017,-0.885371429,41.65441429,"PM10"
238,2018,2021,-0.8855625,41.6570125,"PM10"
239,2010,2010,-0.885933,52.27349,"PM25"
240,2010,2010,-0.886111,47.054444,"PM10"
241,2013,2021,-0.8861,47.0544,"PM10"
242,2013,2013,-0.893607,41.650618,"PM10"
243,2010,2010,-0.893611,41.652315,"PM10"
244,2011,2012,-0.89361,41.63528,"PM25"
245,2014,2016,-0.8936,41.65233333,"PM10"
246,2017,2017,-0.89825,52.2721,"PM25"
247,2020,2020,-0.916605,52.272257,"PM25"
248,2018,2019,-0.9166,52.2723,"PM25"
249,2010,2010,-0.939444,44.865556,"NO2"
250,2013,2021,-0.9394,44.8656,"NO2"
251,2020,2020,-0.9422245,51.453993,"PM10"
252,2016,2019,-0.94225,51.454,"PM10"
253,2010,2010,-0.944067,51.45309,"PM25"
254,2013,2013,-0.94407525,51.4530925,"PM10"
255,2014,2015,-0.9441,51.4531,"PM10"
256,2013,2013,-0.950775032,37.60691495,"PM10"
257,2014,2021,-0.97,37.6186,"PM10"
258,2010,2010,-0.984444333,37.63333333,"PM10"
259,2015,2015,-0.9919,46.3096,"PM10"
260,2010,2010,-1.038611,43.704722,"PM10"
261,2013,2021,-1.0386,43.7047,"PM10"
262,2013,2013,-1.06471111,38.45168333,"PM10"
263,2013,2013,-1.06472222,37.69361111,"PM10"
264,2012,2012,-1.06472222,38.45166666,"PM10"
265,2010,2010,-1.064722,38.451667,"PM10"
266,2014,2021,-1.0647,38.4517,"PM10"
267,2010,2010,-1.068583,50.82881,"NO2"
268,2013,2013,-1.068588667,50.82880667,"PM10"
269,2014,2017,-1.0686,50.8288,"PM10"
270,2013,2013,-1.080430143,53.95858471,"PM10"
271,2010,2020,-1.0811875,53.959701,"PM10"
272,2014,2019,-1.0812,53.9597,"PM10"
273,2020,2020,-1.0820705,50.8135745,"PM10"
274,2018,2019,-1.0821,50.81355,"PM10"
275,2010,2010,-1.084722,49.116389,"PM10"
276,2013,2021,-1.0847,49.1164,"PM10"
277,2010,2010,-1.101111,39.082778,"PM10"
278,2013,2021,-1.1011,39.0828,"PM10"
279,2010,2010,-1.106667,40.336389,"PM10"
280,2014,2021,-1.1067,40.3364,"PM10"
281,2010,2010,-1.117042,46.135153,"NO2"
282,2013,2021,-1.117,46.1352,"PM10"
283,2015,2019,-1.12575,52.62925,"PM10"
284,2020,2020,-1.1257695,52.62925,"PM10"
285,2014,2014,-1.1273,52.6198,"PM25"
286,2013,2013,-1.13015,52.62555,"PM10"
287,2010,2010,-1.133006,52.631348,"PM10"
288,2020,2020,-1.138057,53.51824,"NO2"
289,2015,2019,-1.1381,53.5182,"NO2"
290,2013,2013,-1.143315,41.76279,"NO2"
291,2010,2010,-1.143333,41.762778,"PM10"
292,2012,2012,-1.14333,41.76278,"PM10"
293,2014,2021,-1.1433,41.7628,"PM10"
294,2013,2013,-1.144714813,37.99360741,"PM10"
295,2010,2010,-1.144722,37.993611,"PM10"
296,2014,2021,-1.1447,37.9936,"PM10"
297,2010,2013,-1.146447,52.95473,"PM10"
298,2013,2015,-1.1465,52.9547,"PM10"
299,2014,2014,-1.16256,46.1599,"PM10"
300,2010,2010,-1.1666762,46.1627348,"PM10"
301,2020,2020,-1.167649,52.9620535,"PM10"
302,2016,2019,-1.1677,52.96205,"PM10"
303,2017,2017,-1.170266667,46.16106667,"PM10"
304,2013,2013,-1.1704,46.1626,"PM10"
305,2010,2010,-1.170556,44.660556,"PM10"
306,2015,2015,-1.1736,46.16073333,"PM10"
307,2016,2021,-1.1824,46.1621,"PM10"
308,2013,2017,-1.2016,48.3475,"NO2"
309,2010,2010,-1.202222,48.347503,"NO2"
310,2020,2020,-1.203838,54.683242,"NO2"
311,2017,2019,-1.2038,54.6832,"NO2"
312,2010,2010,-1.220874,54.569297,"PM10"
313,2013,2013,-1.220887,54.5692985,"PM10"
314,2014,2019,-1.2209,54.5693,"PM10"
315,2013,2013,-1.23082222,37.97557037,"PM10"
316,2010,2010,-1.230833,37.975556,"NO2"
317,2014,2021,-1.2308,37.9756,"PM10"
318,2015,2021,-1.2539,40.0994,"PM10"
319,2020,2020,-1.2588705,51.7482755,"PM10"
320,2014,2019,-1.2589,51.74825,"PM10"
321,2013,2013,-1.2591638,51.7475714,"PM10"
322,2010,2010,-1.25957425,51.74654075,"PM10"
323,2013,2013,-1.2679,46.1579,"PM10"
324,2010,2010,-1.275039,54.60537,"NO2"
325,2010,2010,-1.281389,39.558611,"PM10"
326,2013,2013,-1.28139166,39.55860833,"PM10"
327,2014,2021,-1.2814,39.5586,"PM10"
328,2010,2010,-1.2825,42.580556,"PM10"
329,2013,2021,-1.2825,42.5806,"PM10"
330,2015,2019,-1.3165,54.56263333,"PM10"
331,2014,2014,-1.3168,54.56105,"PM10"
332,2013,2013,-1.325283,51.571078,"PM10"
333,2010,2010,-1.325286,51.571078,"PM10"
334,2013,2015,-1.3253,51.5711,"PM10"
335,2013,2013,-1.330713333,54.54624517,"PM10"
336,2020,2020,-1.3372235,54.541243,"PM10"
337,2010,2010,-1.358547,54.516667,"PM10"
338,2010,2010,-1.395778,50.90814,"PM10"
339,2013,2013,-1.3957835,50.90813,"PM10"
340,2014,2015,-1.3958,50.9081,"PM10"
341,2010,2010,-1.406878,54.88361,"PM25"
342,2013,2013,-1.406885333,54.88360667,"PM25"
343,2014,2014,-1.4069,54.8836,"PM25"
344,2020,2020,-1.4076345,54.901,"PM10"
345,2015,2019,-1.40765,54.901,"PM10"
346,2020,2020,-1.429631,50.9142025,"PM10"
347,2016,2019,-1.42965,50.9142,"PM10"
348,2013,2013,-1.43590975,53.39437,"PM10"
349,2010,2010,-1.436831,46.660703,"PM10"
350,2013,2021,-1.4368,46.6607,"PM10"
351,2014,2015,-1.4371,53.3946,"PM10"
352,2016,2019,-1.4382,51.1496,"PM10"
353,2010,2010,-1.4429442,53.2310386,"PM10"
354,2016,2019,-1.443333333,53.39803333,"PM10"
355,2020,2020,-1.44335,53.39805067,"PM10"
356,2014,2014,-1.44525,53.23115,"PM10"
357,2013,2013,-1.446936286,53.23123314,"PM10"
358,2010,2010,-1.45401425,53.385935,"PM10"
359,2020,2020,-1.455945,53.2379265,"PM10"
360,2015,2019,-1.45595,53.2379,"PM10"
361,2020,2020,-1.469507,52.922983,"NO2"
362,2017,2019,-1.4695,52.923,"NO2"
363,2010,2010,-1.488056,43.479722,"PM10"
364,2013,2014,-1.50845,43.48685,"PM10"
365,2013,2013,-1.510418,53.56291,"NO2"
366,2010,2020,-1.510436,53.56292,"NO2"
367,2014,2019,-1.5104,53.5629,"NO2"
368,2013,2013,-1.519606,52.3943995,"PM25"
369,2010,2010,-1.519612,52.394399,"PM25"
370,2015,2021,-1.523566667,43.4813,"PM10"
371,2020,2020,-1.525155,52.4096355,"PM10"
372,2017,2019,-1.52515,52.40965,"PM10"
373,2010,2010,-1.527778,43.494167,"PM10"
374,2010,2010,-1.533119,52.28881,"PM10"
375,2013,2020,-1.538015,52.291847,"PM10"
376,2013,2019,-1.538,52.29185,"PM10"
377,2014,2014,-1.5399,52.403,"PM25"
378,2010,2010,-1.5485815,47.221511,"PM10"
379,2010,2010,-1.5525,43.461389,"PM10"
380,2010,2010,-1.553589,47.183528,"NO2"
381,2013,2016,-1.554566667,47.22656667,"PM10"
382,2010,2010,-1.5584276,53.8102568,"PM10"
383,2015,2016,-1.5602,52.4116,"PM25"
384,2020,2020,-1.5614165,53.811876,"PM10"
385,2014,2019,-1.56145,53.8119,"PM10"
386,2013,2013,-1.5644188,53.8135048,"PM10"
387,2017,2021,-1.56738,47.21196,"PM10"
388,2010,2010,-1.585556,42.208333,"PM10"
389,2020,2020,-1.602945,54.9823275,"PM10"
390,2013,2019,-1.60295,54.9823,"PM10"
391,2010,2013,-1.6067365,54.98028875,"PM10"
392,2013,2021,-1.61005,49.64165,"PM10"
393,2019,2021,-1.6131,42.0681,"PM10"
394,2018,2019,-1.614833333,49.64183333,"PM10"
395,2010,2010,-1.626667,49.636389,"PM10"
396,2015,2016,-1.6267,49.6364,"PM10"
397,2010,2010,-1.626944,42.074722,"PM10"
398,2013,2018,-1.6269,42.0747,"PM10"
399,2020,2020,-1.635718,52.82105,"NO2"
400,2018,2019,-1.6357,52.821,"NO2"
401,2020,2020,-1.637111,53.693104,"NO2"
402,2018,2019,-1.6371,53.6931,"NO2"
403,2020,2020,-1.6463,42.81335,"PM10"
404,2013,2013,-1.647205,42.81529667,"NO2"
405,2014,2019,-1.647466667,42.81513333,"PM10"
406,2010,2010,-1.647579286,42.81428543,"PM10"
407,2021,2021,-1.6484,42.81373333,"PM10"
408,2017,2021,-1.6558,42.4896,"PM10"
409,2013,2014,-1.66948,48.10102,"PM10"
410,2016,2021,-1.671925,48.104125,"PM10"
411,2015,2015,-1.672075,48.103875,"PM10"
412,2010,2010,-1.6742438,48.1062196,"PM10"
413,2013,2013,-1.701107407,37.68889259,"PM10"
414,2010,2010,-1.701111,37.688889,"PM10"
415,2014,2021,-1.7011,37.6889,"PM10"
416,2010,2010,-1.706667,48.046664,"NO2"
417,2010,2010,-1.743333,42.175833,"PM10"
418,2013,2021,-1.744,42.176,"PM10"
419,2013,2019,-1.752,53.4034,"NO2"
420,2020,2020,-1.759774,53.771245,"NO2"
421,2015,2019,-1.7598,53.7712,"NO2"
422,2020,2020,-1.765678,51.558061,"NO2"
423,2018,2019,-1.7657,51.5581,"NO2"
424,2013,2016,-1.7708,37.2522,"NO2"
425,2013,2013,-1.774466667,37.25314333,"PM10"
426,2014,2018,-1.77625,37.2536,"NO2"
427,2010,2010,-1.778103,37.25405633,"PM10"
428,2019,2021,-1.7817,37.255,"NO2"
429,2010,2010,-1.783164,47.283181,"PM10"
430,2013,2021,-1.7832,47.2832,"PM10"
431,2020,2020,-1.803816,50.737512,"PM25"
432,2016,2019,-1.8038,50.73755,"PM25"
433,2010,2010,-1.808333,42.308333,"PM10"
434,2013,2021,-1.8083,42.3083,"PM10"
435,2013,2013,-1.826729333,50.73958,"PM25"
436,2010,2010,-1.826744,50.73957,"NO2"
437,2014,2015,-1.8267,50.7396,"PM25"
438,2013,2013,-1.83054125,52.49325975,"PM10"
439,2010,2010,-1.8305795,52.51172125,"PM10"
440,2013,2019,-1.8363,47.8319,"PM10"
441,2014,2021,-1.8422,37.1388,"NO2"
442,2021,2021,-1.84865,38.98005,"PM10"
443,2011,2020,-1.8521,38.9793,"PM10"
444,2013,2013,-1.86861111,38.11472222,"PM10"
445,2010,2010,-1.868611,38.114722,"NO2"
446,2013,2021,-1.8686,38.1147,"PM10"
447,2020,2020,-1.874419333,52.464867,"PM10"
448,2013,2013,-1.8805,52.516675,"PM10"
449,2010,2010,-1.894237,36.99767067,"PM10"
450,2010,2010,-1.899444,43.314444,"PM10"
451,2016,2016,-1.900083333,52.50753333,"PM10"
452,2014,2015,-1.9051,52.51382,"PM10"
453,2016,2021,-1.9127,43.0819,"PM10"
454,2017,2017,-1.91392,52.5066,"PM10"
455,2014,2014,-1.9163,36.9821,"PM25"
456,2013,2013,-1.917416667,36.98119333,"NO2"
457,2015,2019,-1.92845,36.9734,"PM10"
458,2016,2021,-1.930433333,36.98383333,"PM10"
459,2018,2018,-1.93144,52.50052,"PM10"
460,2010,2010,-1.936619,47.247469,"PM10"
461,2013,2021,-1.9366,47.2475,"PM10"
462,2019,2019,-1.940533333,52.50181667,"PM10"
463,2010,2010,-1.956667,38.981667,"PM10"
464,2013,2013,-1.97255,43.3124,"NO2"
465,2010,2010,-1.9775,43.2675,"PM10"
466,2013,2021,-1.9777,43.2675,"PM10"
467,2014,2021,-1.9791,37.193,"PM10"
468,2020,2020,-1.980821,52.687298,"NO2"
469,2016,2019,-1.9808,52.6873,"NO2"
470,2013,2013,-1.98225,37.19321,"NO2"
471,2020,2020,-1.9842,43.3116,"PM10"
472,2010,2010,-1.985277667,43.31166667,"PM10"
473,2014,2019,-1.985333333,43.3114,"PM10"
474,2013,2013,-1.985348147,43.31139259,"PM10"
475,2010,2010,-1.994167,48.654997,"NO2"
476,2020,2020,-1.9947525,52.5053865,"NO2"
477,2010,2010,-1.995556,52.52062,"NO2"
478,2013,2017,-1.9961,48.6547,"NO2"
479,2021,2021,-1.997866667,43.29786667,"PM10"
480,2018,2018,-1.9994,48.6539,"PM10"
481,2010,2021,-100.03544,37.775303,"PM10"
482,2018,2018,-100.2964103,25.7,"PM10"
483,2011,2011,-100.3092041,25.67321014,"PM10"
484,2018,2018,-100.3167,25.6667,"PM10"
485,2018,2018,-100.3833,20.6,"PM10"
486,2018,2018,-100.4095139,20.60098611,"PM10"
487,2018,2018,-100.4456472,20.55611111,"PM25"
488,2018,2018,-100.5233056,21.29586111,"PM25"
489,2018,2018,-100.5265,28.70766667,"NO2"
490,2018,2018,-100.7438056,20.91475556,"PM25"
491,2018,2018,-100.8207407,20.53342593,"PM10"
492,2018,2018,-100.9945972,22.16273611,"PM10"
493,2018,2018,-100.9984306,25.41908611,"PM10"
494,2010,2021,-101.098133,47.005629,"PM10"
495,2011,2011,-101.1956482,20.5703907,"PM10"
496,2018,2018,-101.195,19.70138889,"NO2"
497,2018,2018,-101.1972222,20.56722222,"PM10"
498,2018,2018,-101.1980556,20.42527778,"PM25"
499,2018,2018,-101.2573611,21.01758333,"PM25"
500,2011,2011,-101.3544922,20.67866516,"PM10"
501,2018,2018,-101.4258333,20.94777778,"PM10"
502,2011,2011,-101.4266968,20.95216942,"PM10"
503,2018,2018,-101.427,26.90819444,"NO2"
504,2018,2018,-101.4469426,20.81198241,"PM10"
505,2018,2018,-101.6682407,21.115,"PM10"
506,2011,2011,-101.6804962,21.12361908,"PM10"
507,2013,2013,-101.8752823,54.76499939,"PM10"
508,2015,2019,-101.87747,54.76852,"PM10"
509,2018,2018,-102.2896222,21.87772407,"PM10"
510,2018,2020,-102.98499,49.13235,"PM25"
511,2010,2021,-103.122917,32.726656,"PM25"
512,2010,2021,-103.3286257,43.90779633,"PM10"
513,2018,2018,-103.3333,20.6667,"PM10"
514,2018,2018,-103.3451815,20.63582872,"PM10"
515,2011,2011,-103.3496094,20.65969849,"PM10"
516,2010,2021,-103.37853,46.8943,"PM25"
517,2018,2018,-103.4333,25.55,"PM10"
518,2018,2018,-103.4393958,25.53636074,"PM10"
519,2010,2021,-103.656561,41.876853,"PM25"
520,2010,2021,-104.2627263,32.38011762,"NO2"
521,2010,2021,-104.597613,38.276099,"PM10"
522,2015,2020,-104.616,50.4527,"PM10"
523,2013,2013,-104.617218,50.45016861,"PM10"
524,2018,2018,-104.6690014,24.030625,"PM10"
525,2010,2021,-104.76549,40.312132,"PM25"
526,2010,2021,-104.7982868,41.15953648,"PM10"
527,2010,2021,-104.828564,38.848014,"PM10"
528,2018,2018,-104.8889611,21.49399167,"PM10"
529,2010,2021,-105.0065058,39.701536,"PM10"
530,2010,2021,-105.079693,40.571288,"PM25"
531,2010,2021,-105.182119,40.0928365,"PM10"
532,2010,2021,-105.24504,38.43829,"PM10"
533,2010,2021,-105.3740339,44.09892124,"PM10"
534,2010,2021,-105.595945,41.28506533,"PM10"
535,2016,2020,-105.75203,53.201694,"PM25"
536,2018,2018,-106.0860863,28.67442917,"PM10"
537,2010,2021,-106.2804741,42.85593185,"PM10"
538,2010,2021,-106.411819,31.7370615,"PM10"
539,2010,2021,-106.6157567,35.09856,"PM10"
540,2010,2021,-106.6589526,31.97746305,"PM10"
541,2013,2013,-106.6629333,52.13613129,"PM10"
542,2015,2020,-106.66293,52.13613,"PM25"
543,2010,2021,-106.831625,40.485201,"PM10"
544,2010,2021,-106.9601265,44.798946,"PM10"
545,2010,2021,-107.6610053,37.18108333,"PM25"
